,expert_text,simple_reference,model_output,fk_expert,fk_reference,fk_model
0,Intervention for obese adolescents should be focused on developing healthy eating and exercise habits rather than on losing a specific amount of weight.,The treatment of adolescent obesity is focused on developing healthy eating and exercise habits rather than on losing a specific amount of weight.,"For obese adolescents, the focus should be on healthy eating habits and regular exercise rather than losing a certain number of pounds. The goal should be to develop healthy habits that will last a lifetime, rather than trying to lose weight quickly and then gaining it back.",15.953913043478263,15.953913043478263,11.65159574468085
1,"The liver may be enlarged, hard, or tender; massive hepatomegaly with easily palpable nodules signifies advanced disease.","Typically, the liver is enlarged and hard. It may feel tender and often lumpy.","The liver is often enlarged and may feel hard or tender to the touch. Large, easily felt nodules on the liver are a sign that the disease is advanced. In some people, the liver becomes so large that it can be felt without a stethoscope.",12.55764705882353,4.840000000000003,6.255555555555556
2,"Frequency, urgency, and nocturia are due to incomplete emptying and rapid refilling of the bladder. Decreased size and force of the urinary stream cause hesitancy and intermittency. Pain and dysuria are usually not present. Sensations of incomplete emptying, terminal dribbling, overflow incontinence, or complete urinary retention may ensue.","At first, men may have difficulty starting urination. Urination may also feel incomplete. Because the bladder does not empty completely, men have to urinate more frequently, often at night (nocturia).","The bladder does not empty completely, so the person may feel the need to urinate more often. The flow of urine may be weak, causing the person to stop and start urinating several times. The bladder may become too full, causing it to leak urine. In rare cases, the bladder may not empty at all, causing urine to back up into the kidneys.",13.427500000000002,8.763333333333339,7.2223412698412695
3,Desmopressin,"Sometimes, the drug desmopressin","Nose drops (nasal decongestants) such as oxymetazoline (Afrin), phenylephrine (Neo-Synephrine), and pseudoephedrine (Sudafed) can help relieve nasal congestion.",8.400000000000002,3.6700000000000017,12.407777777777778
4,"Some patients have weight loss, rarely enough to become underweight. Anemia, glossitis, angular stomatitis, and aphthous ulcers are usually seen in these patients.","Some people are undernourished, have mild weight loss and anemia, or have mouth sores and an inflamed tongue.","Some people with celiac disease lose weight because they do not get enough nutrients from the food they eat. Rarely, the weight loss is so severe that the person becomes underweight, a condition known as malnutrition. Other symptoms of malnutrition include anemia (a condition in which the body does not have enough red blood cells), a smooth, red tongue (glossitis), and sores in the mouth (aphthous stomatitis).",11.981956521739132,8.474444444444444,11.436417910447762
5,"Involvement of the carotid and vertebral arteries results in reduced cerebral blood flow manifested by dizziness, syncope, orthostatic hypotension, headaches, transient visual disturbances, transient ischemic attacks, or strokes. Stenotic lesions in a subclavian artery near the origin of a patent vertebral artery can cause posterior circulation ischemic neurologic symptoms or syncope when the arm is used (called subclavian steal syndrome).","Head: People may feel dizzy or faint, have headaches, or have problems with vision.","Reduced blood flow to the brain (cerebral ischemia) can cause dizziness or fainting (syncope), low blood pressure when standing (orthostatic hypertension), headaches, vision problems, transient stroke-like symptoms, or a full-blown stroke. Reduced blood flow in the posterior part of the brain can cause problems with balance, coordination, and vision.",20.103333333333335,5.884285714285717,14.43438775510204
6,"However, if the neonate 's breathing appears obstructed, suctioning is done with an endotracheal tube attached to a meconium aspirator.","If the newborn 's airway seems blocked by meconium, doctors try to suction it out. Doctors used to do suctioning whenever they saw meconium in the amniotic fluid or in the newborn 's mouth, but this has not been shown to help.","If the baby is having trouble breathing, a tube is inserted into the trachea ( windpipe ) and connected to a machine that removes the meconia from the lungs ( called a suction catheter or aspirator ). This is called suctioning.",14.040000000000003,9.457142857142859,10.760135135135137
7,"Photosensitivity occurs in some patients. Lupus erythematosus tumidus is characterized by pink to violaceous urticarial nonscarring plaques and/or nodules, some annular, in light -exposed areas.","Rashes resulting from exposure to sunlight (photosensitivity) occur in some people with lupus, particularly fair-skinned people.","In some people, the skin becomes more sensitive to sunlight (photosensitivity). The skin may become red and swollen (inflamed) in areas that are exposed to the sun, such as the face, arms, and legs. The inflammation may form small, round (nodular) bumps or patches (plaques) that do not leave scars.",15.717000000000006,17.2,8.138000000000002
8,The driving force for these reactions is often the entropic benefit of gaseous evolution ( e.g.,The driving force for these reactions is often the entropic benefit of releasing a gas ( e.g.,"These reactions often have an entropic driving force, such as the release of a gas (e.g., CO2). The driving force is the enthalpy change (ΔH) of the reaction, which is the sum of the internal energy (U) and the pressure-volume work.",12.286666666666669,9.825,9.38548780487805
9,Recurrence rates after surgical excision are about 5 to 15 %.,"After surgical removal, ganglia return in about 5 to 15 % of people.","If the tumor is removed surgically, the chance of the tumor coming back (recurrence) is about 10 to 20 % in the first 5 years after the surgery and about 30 to 40 % in 10 years. If the tumor comes back, it is usually in the same place as the original tumor.",9.55,10.723333333333333,11.245196078431373
10,"Conjunctival redness, eye ache, foreign body sensation, photophobia, and lacrimation may be minimal initially.","Corneal ulcers cause redness, pain, usually a feeling like a foreign object is in the eye (foreign body sensation), aching, sensitivity to bright light, and increased tear production.","At first, the conjunctiva (the membrane covering the white part of the eye) may be red, the eye may ache, the person may feel a foreign body in the eye, the eyes may be sensitive to light (photophobia), and there may be tearing.",15.99857142857143,15.98,17.096279069767444
11,"In the most severe form (called malignant yellow fever), delirium, intractable hiccups, seizures, coma, and multiple organ failure may occur terminally.","Severe infection can cause seizures, malfunction of several organs, and coma may occur.","In the worst form of yellow fever, the person may become delirious, have seizures, become comatose, and have failure of the kidneys, liver, lungs, and other organs. Death may occur within 7 to 10 days after the onset of symptoms.",16.761904761904763,10.356923076923078,10.205000000000002
12,Patients with allergic conjunctivitis report having Bilateral mild to intense ocular itching; Conjunctival hyperemia; Photosensitivity (photophobia in severe cases); Eyelid edema; Watery or stringy discharge.,People with all forms of allergic conjunctivitis develop intense itching and burning in both eyes.,Bilateral mild to severe itching of the eyes; Redness of the conjunctiva (the membrane covering the white part of the eye); Sensitivity to light; Swelling of the eyelids; A watery or sticky discharge from the eyes.,23.896000000000004,10.713333333333338,17.461111111111112
13,"Ankles, knees, elbows, and wrists are usually involved.","Ankles, knees, elbows, and wrists are usually affected.","The joints most often affected are the ankles, knees and elbows, but any joint can be affected. The wrists are also commonly affected. In some people, the joints in the hands, feet, hips, shoulders and spine may also be affected, but this is less common.",8.180000000000003,9.655000000000001,7.042222222222225
14,"In a few patients, the first manifestation of hepatocellular carcinoma is bloody ascites, shock, or peritonitis, caused by hemorrhage of the tumor.","Occasionally, the first symptoms are sudden abdominal pain and shock (dangerously low blood pressure) caused by rupture or bleeding of the cancer.","The first sign of liver cancer may be a buildup of fluid in the abdominal cavity (ascites), which can cause the abdomen to become swollen and painful. In some cases, the fluid may become infected (peritonitis), causing a severe, life-threatening infection.",15.51727272727273,13.371818181818181,12.263536585365856
15,The carbocation intermediate is formed in the reaction 's rate determining step is an sp2 hybridized carbon with trigonal planar molecular geometry.,The carbocation intermediate formed in the reaction 's rate limiting step is an sp2 hybridized carbon with trigonal planar molecular geometry.,"The rate-determining step of the reaction is the formation of a carbocation, which is a carbon atom with three bonds to other atoms and one bond to a lone pair of electrons. This carbocation is formed by the removal of a hydrogen atom from the methyl group.",17.12636363636364,16.761904761904763,11.902659574468085
16,"Physiological adaptations permit the organism to perform special functions such as making venom, secreting slime, and phototropism ), but also involve more general functions such as growth and development, temperature regulation, ionic balance and other aspects of homeostasis.","Physiological adaptations permit the organism to perform special functions ( for instance, making venom, secreting slime, phototropism ); but also more general functions such as growth and development, temperature regulation, ionic balance and other aspects of homeostasis.","Physiological adaptation is the process by which an organism becomes better suited to its environment. Physiological adaptations allow an organism to make venom, secrete slime, grow and develop, regulate temperature, balance ions, and other homeostatic functions. Physiologically adapted organisms are better able to survive and reproduce in their environment.",24.034594594594598,24.020000000000007,17.992244897959186
17,Continuous positive airway pressure (CPAP).,Measures to support breathing.,"CPAP (Continuous Positive Airway Pressure) is a treatment for sleep apnea that involves wearing a mask over the nose and/or mouth during sleep, connected to a machine that blows air into the airways to keep the airway from closing during sleep.",14.68,6.620000000000001,18.819512195121956
18,"However, many patients are never oliguric.","However, some people with acute kidney injury continue to produce normal amounts of urine.","However, not all people with acute kidney failure have a low urine output (oliguric acute renal failure). Some people have a normal or even high urine output, and this is called non-olivuric (or non-anuric) renal failure.",10.350000000000001,12.62714285714286,10.113333333333333
19,"During the acute phase, adult worms in the intestine may cause colicky epigastric pain, anorexia, flatulence, diarrhea, and weight loss.","When adult worms first attach in the intestine, they can cause pain in the upper abdomen, loss of appetite, diarrhea, and weight loss.","The adult worms live in the intestines and may cause abdominal pain, loss of appetite, gas in the digestive tract (flatulence), diarrhea, weight loss, and a general feeling of illness (malaise) during the first few weeks after infection.",14.040000000000003,11.336521739130436,18.482631578947366
20,Hepatocellular carcinoma develops in 10 to 15 % of patients with alcoholic cirrhosis.,Liver cancer develops in 10 to 15 % of people with cirrhosis due to alcohol abuse.,"Liver cancer develops in about 1 in 5 people who have liver disease caused by drinking too much alcohol over a long period of time (cirrhosis of the liver) and in people with other liver diseases, such as hepatitis B and C.",16.62333333333334,9.92666666666667,19.613809523809525
21,"With diaphragmatic involvement, splinting of the chest and pain in one or both shoulders may occur. Other manifestations of FMF include acute pleurisy (in 30 %); arthritis (in 25 %), usually involving the knee, ankle, and hip; an erysipelas - like rash of the lower leg; and scrotal swelling and pain caused by inflammation of the tunica vaginalis of the testis. Pericarditis occurs very rarely.","Chest pain: About 30 % of affected people have chest pain. Chest pain, which is typically triggered by breathing, is caused by inflammation of the membranes surrounding the lungs (pleuritis) or, rarely, by inflammation of the sac surrounding the heart (pericarditis). Arthritis: About 25 % of people have inflammation of large joints (arthritis), such as the knees, ankles, and hips. Rash: A painful red rash that usually appears near the ankles may occur but is comparatively rare among affected people in the United States. Scrotum pain: In males, the thick-skinned sac that surrounds and protects the testes (scrotum) may swell and be painful due to inflammation of a testis (testicle).","In the chest, the diaphragm may become inflamed, causing the chest to feel stiff and painful, especially in the shoulder area. Other symptoms of the disease may include a painful, red, and swollen rash on the lower part of the leg (erysipelas-like rash), a painful swelling of the scrotum (the sac that contains the testicles), and inflammation of one or more joints (arthritis), which is most common in the knees, ankles, and hips.",11.692580645161296,11.517333333333337,15.45595890410959
22,"In acquired lymphocytopenias, lymphocytopenia usually remits with removal of the underlying factor or successful treatment of the underlying disorder.","If the lymphocytopenia is the result of AIDS, combination therapy with at least three antiviral drugs of different classes can increase the number of T cells and lengthen survival. If an infection develops, a specific antibiotic, antifungal, antiviral, or antiparasitic drug directed against the infective organism is given.","If the cause of the low lymphocyte count is removed or treated, the count usually goes back to normal. If the cause is not removed, the low count may not go away and the person may be more likely to get infections or other problems.",21.00947368421053,17.61583333333333,9.180555555555557
23,The most significant long- term complication of FMF is Chronic renal failure caused by deposition of amyloid protein in the kidneys.,"If not treated adequately, some people with familial Mediterranean fever develop amyloidosis. In amyloidosis, an unusually shaped protein called amyloid is deposited in the kidneys and in many organs and tissues, impairing their function. Amyloid deposits may damage the kidneys, eventually resulting in kidney failure.","Chronic renal failure is the most common long-term complication of Familial Mediterranean Fever (FMF), and it is caused by the deposition of Amyloid protein (AA amyloidosis) in the Kidneys (Nephropathy) of people with FMF.",13.390476190476189,15.695555555555558,19.187647058823533
24,"In this notation, the DA reaction and the dipolar reaction both become a [ 4+2 ] cycloaddition.","In this notation, the Diels-Alder reaction and the dipolar reaction both become a [ 4+2 ] cycloaddition.","In the notation of organic chemistry, the Diels-Alder reaction ( DA reaction ) and the [ 3,3 ] sigmatropic rearrangement are both [ 8+4 ] cyclorearrangements, but in the notation used in this article, they are [ 2,4 ] and [ 1,5 ] respectively.",10.713333333333338,11.500000000000004,19.53470588235294
25,"Intubation and CPAP are indicated for respiratory distress, followed by mechanical ventilation and admission to the neonatal ICU as needed.",Newborns who have trouble breathing after delivery may need to have a breathing tube placed in their windpipe and be put on continuous positive airway pressure (CPAP). This technique allows newborns to breathe on their own while being given slightly pressurized oxygen. Newborns are admitted to the neonatal intensive care unit (NICU) and are given supplemental oxygen and may be placed on a ventilator (a machine that helps air get in and out of the lungs) if necessary.,"If the baby is having trouble breathing, a tube may be placed in the airway (intubation) and a machine may be used to help the baby breathe (CPAP). The baby may need to be put on a ventilator and admitted to the NICU.",18.170000000000005,13.611538461538462,8.985697674418606
26,"Lady Burdett-Coutts died of acute bronchitis at her home on Stratton Street, Piccadilly.","Lady Burdett-Coutts died of acute bronchitis at her house in Stratton Street, Piccadilly.","She died in 1906 of bronchial pneumonia at the age of 84. She was buried in the family vault in Brompton Cemetery. Her husband died in the same year. He was buried with her in the Coutts family vault, but in a separate grave.",9.44923076923077,9.44923076923077,5.059090909090912
27,"If no symptoms develop within the first 6 h after ingestion, risk of serious toxicity is minimal.",Stage 2 (6 to 48 hours after the overdose): The person's condition can appear to improve.,"If symptoms do not develop within 6 hours after the overdose, the risk of a serious reaction is low, and the person is unlikely to have long-term problems. If symptoms do develop, they usually appear within 1 to 3 days after the person takes the overdose.",12.55764705882353,9.087500000000002,12.619130434782608
28,"Predisposing factors include brain disorders (eg, dementia, stroke, Parkinson disease), advanced age, sensory impairment (eg, impaired vision or hearing), alcohol intoxication, and multiple coexisting disorders. Precipitating factors include use of drugs (particularly 3 new drugs), infection, dehydration, shock, hypoxia, anemia, immobility, undernutrition, use of bladder catheters (whether urinary retention is present or not), hospitalization, pain, sleep deprivation, and emotional stress.","Delirium can result from less severe conditions in older people and in people who have had a stroke or who have dementia, Parkinson disease, or another disorder that causes nerve degeneration. These conditions include Minor illnesses (such as a urinary tract infection); Severe constipation; Pain; Use of a bladder catheter (a thin tube used to drain urine from the bladder); Dehydration; Prolonged sleep deprivation; Sensory deprivation (including being socially isolated and not having access to needed eyeglasses or hearing aids).","Factors that make a person more likely to develop incontinence include a brain disorder (such as dementia, a stroke, or Parkinson's disease), being older than 65 years, sensory loss (for example, blindness or deafness), being intoxicated with alcohol, and having many other health problems. Factors that can cause a person to become incontinent include taking new drugs, having an infection, being dehydrated, being in shock, having a low level of oxygen in the blood, being anemic, being immobile, being undernourished, using a catheter, being hospitalized, having pain, not getting enough sleep, and being under a lot of stress.",24.430000000000003,22.282500000000002,24.71183673469388
29,VWF replacement when necessary.,"Sometimes, transfusion of blood clotting factors enriched in von Willebrand factor.",Von Willebrand factor (VWF) replacement therapy when necessary (for people with type 1 and some people with types 2A and 2B) or desmopressin (DDAVP) for people with mild hemophilia A (type 1).,12.52,9.081818181818182,14.958750000000002
