expert,reference_simple,model_simple
Intervention for obese adolescents should be focused on developing healthy eating and exercise habits rather than on losing a specific amount of weight.,The treatment of adolescent obesity is focused on developing healthy eating and exercise habits rather than on losing a specific amount of weight.,They must focus on building healthy eating habits not on gaining weight.
"The liver may be enlarged, hard, or tender; massive hepatomegaly with easily palpable nodules signifies advanced disease.","Typically, the liver is enlarged and hard. It may feel tender and often lumpy.","Hepatomegaly may be enlarged, hard, or tender; massive hepatomegaly, with easily palpable nodules, means advanced disease."
"Frequency, urgency, and nocturia are due to incomplete emptying and rapid refilling of the bladder. Decreased size and force of the urinary stream cause hesitancy and intermittency. Pain and dysuria are usually not present. Sensations of incomplete emptying, terminal dribbling, overflow incontinence, or complete urinary retention may ensue.","At first, men may have difficulty starting urination. Urination may also feel incomplete. Because the bladder does not empty completely, men have to urinate more frequently, often at night (nocturia).",Decreased size and force of the urinary stream may result in hesitancy and intermittency. It also may lead to difficulty in bladder refilling.
Desmopressin,"Sometimes, the drug desmopressin",Desmopressin is another form of methyldepressin that helps your body sleep better.
"Some patients have weight loss, rarely enough to become underweight. Anemia, glossitis, angular stomatitis, and aphthous ulcers are usually seen in these patients.","Some people are undernourished, have mild weight loss and anemia, or have mouth sores and an inflamed tongue.","Some people may have weight loss, often enough to become underweight."
"Involvement of the carotid and vertebral arteries results in reduced cerebral blood flow manifested by dizziness, syncope, orthostatic hypotension, headaches, transient visual disturbances, transient ischemic attacks, or strokes. Stenotic lesions in a subclavian artery near the origin of a patent vertebral artery can cause posterior circulation ischemic neurologic symptoms or syncope when the arm is used (called subclavian steal syndrome).","Head: People may feel dizzy or faint, have headaches, or have problems with vision.","An abnormal blood flow to the brain may cause dizziness, syncope, and paralysis. Unlike strokes or cardiovascular problems, ischemic neurologic symptoms and syncope are caused by sudden heart failure."
"However, if the neonate 's breathing appears obstructed, suctioning is done with an endotracheal tube attached to a meconium aspirator.","If the newborn 's airway seems blocked by meconium, doctors try to suction it out. Doctors used to do suctioning whenever they saw meconium in the amniotic fluid or in the newborn 's mouth, but this has not been shown to help.","The baby breathes a lot like a baby, as they have multiple different breathing patterns."
"Photosensitivity occurs in some patients. Lupus erythematosus tumidus is characterized by pink to violaceous urticarial nonscarring plaques and/or nodules, some annular, in light -exposed areas.","Rashes resulting from exposure to sunlight (photosensitivity) occur in some people with lupus, particularly fair-skinned people.","These plaques can be pink to violaceous, but these are often the result of a chemical reaction."
The driving force for these reactions is often the entropic benefit of gaseous evolution ( e.g.,The driving force for these reactions is often the entropic benefit of releasing a gas ( e.g.,The driving force for these reactions is often the entropic benefit of gaseous evolution.
Recurrence rates after surgical excision are about 5 to 15 %.,"After surgical removal, ganglia return in about 5 to 15 % of people.",Recurrence rates after surgical excision are between 5 and 15 %.
